ID,Distance,Galactocentric Radius,Vobs,e_Vobs,Vgas,Vdisk,Vbul,SBdisk,SBbul,Radius,gobs,gbar,L10(gobs),L10(gbar),tdyn,tdyn,Luminosity,Mass
,Mpc,kpc,km/s,km/s,km/s,km/s,km/s,,,m,m/s2,,,,seconds,Gyr,,
DDO064,6.8,2.08,46.4,4.62,19.64,19.1,0,2.84,0,6.41888E+19,3.35411E-11,1.16927E-11,-10.4744233,-10.93208565,2.343E+15,0.074286648,0.157,0.211
DDO064,6.8,2.27,46.3,4.62,20.17,18.77,0,2.16,0,7.00522E+19,3.06013E-11,1.08368E-11,-10.5142598,-10.96509887,2.5425E+15,0.080611803,0.157,0.211
DDO064,6.8,2.37,46.4,6.73,20.59,18.61,0,1.86,0,7.31382E+19,2.94369E-11,1.05318E-11,-10.53110831,-10.97749553,2.63524E+15,0.083552262,0.157,0.211
DDO064,6.8,2.98,46.9,8.65,22.17,17.21,0,0,0,9.19628E+19,2.39185E-11,8.56534E-12,-10.6212665,-11.0672552,3.27668E+15,0.103889583,0.157,0.211
DDO154,4.04,0.49,13.8,1.6,3.74,12.31,0,15.93,0,1.51214E+19,1.25941E-11,1.09463E-11,-10.89983383,-10.96073182,1.17534E+15,0.037264922,0.053,0.275
DDO154,4.04,0.99,21.6,0.8,7.46,14.55,0,5.52,0,3.05514E+19,1.52713E-11,8.75096E-12,-10.81612361,-11.05794427,1.86848E+15,0.059241494,0.053,0.275
DDO154,4.04,1.48,28.9,0.7,10.87,12.95,0,1.26,0,4.56728E+19,1.82868E-11,6.25885E-12,-10.73786195,-11.20350516,2.70135E+15,0.08564849,0.053,0.275
DDO154,4.04,1.97,34.3,0.5,13.32,11.54,0,0.29,0,6.07942E+19,1.9352E-11,5.10894E-12,-10.71327391,-11.29166909,3.44958E+15,0.109371439,0.053,0.275
DDO154,4.04,2.47,38.2,0.4,14.77,10.18,0,0.08,0,7.62242E+19,1.91441E-11,4.22156E-12,-10.71796615,-11.37452667,4.24923E+15,0.134724967,0.053,0.275
DDO154,4.04,2.96,42,0.2,16.2,9.16,0,0.02,0,9.13456E+19,1.93113E-11,3.7916E-12,-10.71418905,-11.42117796,4.90832E+15,0.155622041,0.053,0.275
DDO154,4.04,3.46,44.6,0.2,17.6,8.37,0,0.01,0,1.06776E+20,1.86293E-11,3.55715E-12,-10.7298023,-11.44889774,5.47879E+15,0.173709348,0.053,0.275
DDO154,4.04,3.95,46.3,0.2,17.91,7.77,0,0,0,1.21897E+20,1.75861E-11,3.12675E-12,-10.75483104,-11.50490735,6.24382E+15,0.197965036,0.053,0.275
DDO154,4.04,4.44,47.4,0.3,17.48,7.29,0,0,0,1.37018E+20,1.63975E-11,2.61786E-12,-10.78522221,-11.58205417,7.23463E+15,0.229379628,0.053,0.275
DDO154,4.04,4.94,48.2,0.6,16.93,6.89,0,0,0,1.52448E+20,1.52395E-11,2.19154E-12,-10.81702879,-11.65925029,8.34039E+15,0.264438627,0.053,0.275
DDO154,4.04,5.43,47.4,0.7,16.28,6.55,0,0,0,1.6757E+20,1.34079E-11,1.83769E-12,-10.87263907,-11.73572838,9.54909E+15,0.302761309,0.053,0.275
DDO154,4.04,5.92,45.5,1.3,15.64,6.26,0,0,0,1.82691E+20,1.1332E-11,1.55343E-12,-10.94569484,-11.80870952,1.08446E+16,0.343836428,0.053,0.275
DDO161,7.5,0.6,16,3.53,6.82,12.59,0,30.32,0,1.8516E+19,1.38259E-11,1.10726E-11,-10.85930721,-10.95574988,1.29315E+15,0.041000282,0.548,1.378
DDO161,7.5,0.73,16.6,4.83,8.12,14.22,0,27.69,0,2.25278E+19,1.2232E-11,1.19028E-11,-10.91250261,-10.92435264,1.37574E+15,0.043618831,0.548,1.378
DDO161,7.5,0.85,18.6,2.5,9.3,15.27,0,27.15,0,2.6231E+19,1.3189E-11,1.21865E-11,-10.87978896,-10.91412261,1.46713E+15,0.046516501,0.548,1.378
DDO161,7.5,0.98,20,7.58,10.41,17.04,0,25.71,0,3.02428E+19,1.32263E-11,1.31843E-11,-10.87856201,-10.87994341,1.51455E+15,0.048019874,0.548,1.378
DDO161,7.5,1.07,21.4,4.03,11.27,18.03,0,24.23,0,3.30202E+19,1.38691E-11,1.36914E-11,-10.85795215,-10.86355115,1.55298E+15,0.049238378,0.548,1.378
DDO161,7.5,1.54,28.9,2.74,15.22,22.44,0,17.21,0,4.75244E+19,1.75743E-11,1.547E-11,-10.75512096,-10.81050996,1.75272E+15,0.055571435,0.548,1.378
DDO161,7.5,2.02,32.9,2.65,18.74,24.92,0,11.77,0,6.23372E+19,1.73638E-11,1.55957E-11,-10.7603555,-10.80699435,1.99927E+15,0.063388304,0.548,1.378
DDO161,7.5,2.49,35.2,2.88,21.52,25.85,0,7.54,0,7.68414E+19,1.61246E-11,1.4723E-11,-10.79250994,-10.83200485,2.28455E+15,0.072433317,0.548,1.378
DDO161,7.5,2.96,37.6,3.05,23.28,26.01,0,5.12,0,9.13456E+19,1.5477E-11,1.33392E-11,-10.81031194,-10.87486976,2.61685E+15,0.08296922,0.548,1.378
DDO161,7.5,3.43,40.6,3.68,24.59,25.36,0,3.64,0,1.0585E+20,1.55726E-11,1.17884E-11,-10.80763797,-10.92854586,2.99653E+15,0.095007144,0.548,1.378
DDO161,7.5,3.9,42.7,3.25,25.62,25.01,0,2.55,0,1.20354E+20,1.51494E-11,1.0651E-11,-10.81960478,-10.97261163,3.36152E+15,0.106579675,0.548,1.378
DDO161,7.5,4.37,45.5,2.99,26.35,24.48,0,1.74,0,1.34858E+20,1.53513E-11,9.59225E-12,-10.81385457,-11.01807974,3.74954E+15,0.118882207,0.548,1.378
DDO161,7.5,4.86,48.9,1.96,27.08,23.7,0,1.09,0,1.4998E+20,1.59436E-11,8.63462E-12,-10.79741447,-11.06375692,4.16768E+15,0.132139563,0.548,1.378
DDO161,7.5,5.34,51.5,1.53,27.81,22.69,0,0.64,0,1.64792E+20,1.60945E-11,7.8173E-12,-10.79332272,-11.10694303,4.59135E+15,0.14557219,0.548,1.378
DDO161,7.5,5.81,53,1.86,28.4,21.59,0,0.46,0,1.79297E+20,1.56668E-11,7.09823E-12,-10.80502031,-11.14885007,5.02587E+15,0.159349011,0.548,1.378
DDO161,7.5,6.28,55,1.48,28.98,20.86,0,0.36,0,1.93801E+20,1.56088E-11,6.57882E-12,-10.80663019,-11.18185219,5.42755E+15,0.172084673,0.548,1.378
DDO161,7.5,6.75,57.6,0.99,29.57,20.11,0,0.24,0,2.08305E+20,1.59274E-11,6.13906E-12,-10.79785473,-11.21189809,5.82504E+15,0.184687372,0.548,1.378
DDO161,7.5,7.22,59.7,1.19,30.3,19.38,0,0.16,0,2.22809E+20,1.59962E-11,5.8062E-12,-10.79598446,-11.23610814,6.1947E+15,0.196407894,0.548,1.378
DDO161,7.5,7.69,60.5,1.26,31.18,18.7,0,0.11,0,2.37313E+20,1.54237E-11,5.5702E-12,-10.81181151,-11.25412944,6.52718E+15,0.206949396,0.548,1.378
DDO161,7.5,8.16,61.8,1.33,32.06,18.06,0,0.07,0,2.51818E+20,1.51667E-11,5.37694E-12,-10.81910913,-11.26946511,6.84346E+15,0.216977102,0.548,1.378
DDO161,7.5,8.64,62.9,1.35,32.64,17.47,0,0.05,0,2.6663E+20,1.48386E-11,5.14034E-12,-10.82860837,-11.28900828,7.2021E+15,0.228348038,0.548,1.378
DDO161,7.5,9.11,63,2.09,33.23,16.94,0,0.03,0,2.81135E+20,1.41178E-11,4.94851E-12,-10.8502332,-11.30552582,7.53737E+15,0.238978247,0.548,1.378
DDO161,7.5,9.58,64.5,2.38,33.38,16.44,0,0.02,0,2.95639E+20,1.40721E-11,4.68307E-12,-10.851642,-11.3294691,7.94539E+15,0.251914738,0.548,1.378
DDO161,7.5,10.05,65.6,1.08,33.38,15.98,0,0.02,0,3.10143E+20,1.38754E-11,4.41598E-12,-10.8577543,-11.35497306,8.38045E+15,0.265708734,0.548,1.378
DDO161,7.5,10.52,67.5,3.22,32.79,15.57,0,0.01,0,3.24647E+20,1.40345E-11,4.05859E-12,-10.85280412,-11.39162511,8.94372E+15,0.283567658,0.548,1.378
DDO161,7.5,10.99,66.8,2.37,32.06,15.18,0,0.01,0,3.39151E+20,1.31571E-11,3.71007E-12,-10.88084069,-11.4306177,9.56105E+15,0.303140504,0.548,1.378
DDO161,7.5,11.46,66.8,0.95,31.18,14.81,0,0,0,3.53656E+20,1.26175E-11,3.36918E-12,-10.89902761,-11.4724761,1.02454E+16,0.324837854,0.548,1.378
DDO161,7.5,11.94,66.6,0.96,30.3,14.47,0,0,0,3.68468E+20,1.20378E-11,3.05988E-12,-10.91945179,-11.51429491,1.09736E+16,0.347925203,0.548,1.378
DDO161,7.5,12.41,66.8,0.99,29.42,14.16,0,0,0,3.82973E+20,1.16516E-11,2.7836E-12,-10.93361478,-11.55539339,1.17295E+16,0.37189373,0.548,1.378
DDO161,7.5,12.9,66.3,0.74,28.69,13.86,0,0,0,3.98094E+20,1.10418E-11,2.55019E-12,-10.95695858,-11.59342731,1.24941E+16,0.396136427,0.548,1.378
DDO161,7.5,13.37,66.1,1.31,27.81,13.59,0,0,0,4.12598E+20,1.05895E-11,2.32208E-12,-10.97512441,-11.63412365,1.33299E+16,0.422633386,0.548,1.378
DDO168,4.25,0.41,15,4.1,10.41,8.28,0,20.43,0,1.26526E+19,1.77829E-11,1.39834E-11,-10.74999726,-10.85438689,9.51225E+14,0.030159327,0.191,0.413
DDO168,4.25,0.82,23.4,1.3,18.08,12.66,0,14.59,0,2.53052E+19,2.16382E-11,1.92515E-11,-10.66477806,-10.71553637,1.1465E+15,0.036350583,0.191,0.413
DDO168,4.25,1.24,29.2,1.5,20.09,15.11,0,8.79,0,3.82664E+19,2.22817E-11,1.65137E-11,-10.6520519,-10.78215537,1.52225E+15,0.048264165,0.191,0.413
DDO168,4.25,1.64,36.2,1.1,20.2,15.99,0,5.9,0,5.06104E+19,2.58927E-11,1.31143E-11,-10.58682263,-10.8822548,1.96448E+15,0.062285305,0.191,0.413
DDO168,4.25,2.06,44,1.1,22,16.89,0,4.09,0,6.35716E+19,3.04539E-11,1.21009E-11,-10.51635779,-10.91718316,2.29205E+15,0.072671055,0.191,0.413
DDO168,4.25,2.47,52.1,1.2,22.63,17.03,0,2.87,0,7.62242E+19,3.56109E-11,1.05234E-11,-10.44841743,-10.97784389,2.69134E+15,0.085330972,0.191,0.413
DDO168,4.25,2.89,52.9,1.7,22.95,16.99,0,2.09,0,8.91854E+19,3.13774E-11,9.14233E-12,-10.50338242,-11.03894298,3.12333E+15,0.099027698,0.191,0.413
DDO168,4.25,3.3,54.8,2.2,22.74,17.19,0,1.56,0,1.01838E+20,2.94884E-11,7.97938E-12,-10.53034874,-11.09803107,3.57249E+15,0.113268402,0.191,0.413
DDO168,4.25,3.71,55,2.5,22.74,17.16,0,0.82,0,1.14491E+20,2.64214E-11,7.08856E-12,-10.57804445,-11.14944213,4.01889E+15,0.127421964,0.191,0.413
DDO168,4.25,4.12,52,2.7,22.74,16.37,0,0,0,1.27143E+20,2.12674E-11,6.17481E-12,-10.67228645,-11.20937673,4.53769E+15,0.143870995,0.191,0.413
DDO170,15.4,1.87,27.7,3,8.68,18.19,0,9.38,0,5.77082E+19,1.3296E-11,7.03918E-12,-10.87627799,-11.15247783,2.86324E+15,0.090781215,0.543,0.735
DDO170,15.4,3.36,42.4,1.5,15.07,19.75,0,3.58,0,1.0369E+20,1.73379E-11,5.95207E-12,-10.76100349,-11.22533222,4.17382E+15,0.132334177,0.543,0.735
DDO170,15.4,4.86,52.5,1,20.59,19.94,0,2.02,0,1.4998E+20,1.83775E-11,5.47776E-12,-10.73571358,-11.26139729,5.23257E+15,0.165902547,0.543,0.735
DDO170,15.4,6.35,55.6,1,24.61,19.17,0,0.91,0,1.95961E+20,1.57754E-11,4.96599E-12,-10.80202006,-11.30399388,6.28177E+15,0.199168234,0.543,0.735
DDO170,15.4,7.85,58.6,1.1,26.94,18.71,0,0.47,0,2.42251E+20,1.41752E-11,4.44096E-12,-10.84847035,-11.35252286,7.38574E+15,0.234170686,0.543,0.735
DDO170,15.4,9.34,59,1.2,27.6,17.41,0,0.18,0,2.88232E+20,1.20771E-11,3.69448E-12,-10.91803877,-11.43244698,8.83273E+15,0.280048467,0.543,0.735
DDO170,15.4,10.83,60,1.3,26.77,16.05,0,0.09,0,3.34214E+20,1.07715E-11,2.91501E-12,-10.96772188,-11.53536047,1.07076E+16,0.339492931,0.543,0.735
DDO170,15.4,12.33,62.2,1,24.9,15.01,0,0,0,3.80504E+20,1.01677E-11,2.22155E-12,-10.99277823,-11.65334294,1.30873E+16,0.4149438,0.543,0.735
ESO079-G014,28.7,0.41,33.2,11.6,2.21,28.95,0,455.28,0,1.26526E+19,8.71157E-11,6.66256E-11,-10.05990361,-10.17635911,4.35782E+14,0.013816809,51.733,3.14
ESO079-G014,28.7,0.98,50.4,11.8,4.41,47.6,0,284.5,0,3.02428E+19,8.39922E-11,7.55621E-11,-10.07576092,-10.12169624,6.32644E+14,0.020058453,51.733,3.14
ESO079-G014,28.7,1.78,53.9,9.75,6.75,62.09,0,213.32,0,5.49308E+19,5.28885E-11,7.10117E-11,-10.27663839,-10.14866997,8.79514E+14,0.027885681,51.733,3.14
ESO079-G014,28.7,2.69,67.6,5.1,8.55,75.48,0,152.2,0,8.30134E+19,5.50485E-11,6.95109E-11,-10.25925481,-10.15794733,1.09282E+15,0.034648631,51.733,3.14
ESO079-G014,28.7,3.36,81.7,5.06,9.18,82.21,0,142.61,0,1.0369E+20,6.43738E-11,6.59927E-11,-10.19129109,-10.18050411,1.25349E+15,0.039742755,51.733,3.14
ESO079-G014,28.7,4.39,102,5.35,9.29,86.87,0,105.73,0,1.35475E+20,7.67962E-11,5.63401E-11,-10.1146601,-10.24918219,1.55068E+15,0.049165406,51.733,3.14
ESO079-G014,28.7,5.65,116,6.44,9.5,92.23,0,92.69,0,1.74359E+20,7.71741E-11,4.93042E-11,-10.11252839,-10.30711649,1.88053E+15,0.059623675,51.733,3.14
ESO079-G014,28.7,6.34,132,9.1,10.22,96.19,0,89.82,0,1.95652E+20,8.90559E-11,4.78244E-11,-10.05033732,-10.3203502,2.02264E+15,0.064129226,51.733,3.14
ESO079-G014,28.7,6.89,137,5.25,11.87,100.53,0,87.61,0,2.12625E+20,8.82726E-11,4.81936E-11,-10.05417401,-10.31701087,2.10045E+15,0.066596487,51.733,3.14
ESO079-G014,28.7,8.34,154,4.2,17.23,113.81,0,78.45,0,2.57372E+20,9.21466E-11,5.14802E-11,-10.03552053,-10.28835957,2.23594E+15,0.070892302,51.733,3.14
